ProductID,ProductName,avg_rating,avg_sentiment,total_reviews,negative_count,AI_Product_Score
21,Badminton Racket,4.2000000000000002,0.99949789047241211,5,0,2.4997991561889652
15,Climbing Rope,3.9130434782608696,0.64772980023121485,69,13,2.1967730795127762
13,Swim Goggles,3.8356164383561642,0.52939531901111336,73,17,2.106278675549651
16,Kayak,3.7866666666666666,0.5166045610109965,75,18,2.0759751577377319
14,Cycling Helmet,3.8035714285714284,0.49809524736234129,56,15,2.0742380989449365
11,Ski Boots,3.7313432835820897,0.57185921117440974,67,15,2.0720272665593162
2,Fitness Tracker,3.7763157894736841,0.465162088212214,76,22,2.0452753616006749
7,Basketball,3.78125,0.43560764659196144,64,19,2.0351805586367844
12,Ice Skates,3.6962025316455698,0.48507135955593256,79,21,2.0155475311641453
9,Baseball Glove,3.7260273972602738,0.44797102882437512,73,22,2.012065123858517
8,Football Helmet,3.703125,0.3392968038097024,64,22,1.9529062215238808
17,Surfboard,3.6527777777777777,0.35777502672539818,72,25,1.9347766773568258
5,Soccer Ball,3.6666666666666665,0.3334665822982788,75,26,1.9320532995859783
20,Boxing Gloves,3.6101694915254239,0.35180971784106757,59,20,1.9119103278143932
6,Tennis Racket,3.5555555555555554,0.41148009730709922,72,24,1.9090364833672839
19,Hockey Stick,3.6666666666666665,0.27011924698239281,63,23,1.9048730956183537
4,Dumbbells,3.6266666666666665,0.27525028069814045,75,25,1.890100112279256
18,Volleyball,3.5762711864406778,0.31954417491363268,59,19,1.8837498733552833
3,Yoga Mat,3.523076923076923,0.35051110432698174,65,22,1.8678967494231002
24,Swimming Kickboard,3.375,0.4723668172955513,8,2,1.8514467269182207
10,Golf Clubs,3.4923076923076923,0.31858169390605046,65,24,1.8366634467931895
1,Running Shoes,3.5714285714285716,0.20575813736234394,63,25,1.8283350009766837
23,Tennis Balls (Pack of 3),3.2857142857142856,0.40833067893981934,7,2,1.7776179858616421
25,Skating Helmet,3.375,1.5187956392765073E-2,8,4,1.6435751825571059
22,Skipping Rope (Adjustable),3.375,-0.1880924999713898,8,4,1.5622630000114441
