ReviewID,CustomerID,ProductID,ProductName,ReviewDate,Rating,ReviewText,BERT_SentimentScore,SentimentBucket
1,77,18,Volleyball,2023-12-23,3,"Average  experience,  nothing  special.",-0.9992826581001282,Mixed Negative
2,80,19,Hockey Stick,2024-12-25,5,The  quality  is    top-notch.,0.9998470544815063,Positive
3,50,13,Swim Goggles,2025-01-26,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive
4,78,15,Climbing Rope,2025-04-21,3,"Average quality, delivery was slightly delayed.",-0.998961329460144,Mixed Negative
5,64,2,Fitness Tracker,2023-07-16,3,"Average  experience,  nothing  special.",-0.9992826581001282,Mixed Negative
6,81,1,Running Shoes,2025-12-21,4,Customer  support  was  very  helpful.,0.9991816878318787,Positive
7,16,1,Running Shoes,2024-01-29,3,"Average  experience,  nothing  special.",-0.9992826581001282,Mixed Negative
8,55,8,Football Helmet,2024-08-15,5,The material feels standard and usable.,0.9990397095680237,Positive
9,3,13,Swim Goggles,2023-09-01,4,"I  love  this  product,  will  buy  again!",0.9998741149902344,Positive
10,78,6,Tennis Racket,2024-06-17,5,"Excellent  product,  highly  recommend!",0.9998780488967896,Positive
11,54,9,Baseball Glove,2023-07-17,4,"Great  purchase,  very  satisfied.",0.9998626708984375,Positive
12,77,2,Fitness Tracker,2025-01-13,2,Product  did    not  meet  my  expectations.,-0.9997606873512268,Negative
13,93,6,Tennis Racket,2024-08-20,5,"Great  purchase,  very  satisfied.",0.9998626708984375,Positive
14,23,2,Fitness Tracker,2025-06-16,4,Very durable and performs well for daily use.,0.9998507499694824,Positive
15,29,11,Ski Boots,2023-01-27,5,"Great  purchase,  very  satisfied.",0.9998626708984375,Positive
16,95,17,Surfboard,2023-01-06,5,"Excellent  product,  highly  recommend!",0.9998780488967896,Positive
17,88,4,Dumbbells,2025-10-29,3,"Build quality is okay, however durability could definitely be better.",0.9826349020004272,Mixed Positive
18,17,16,Kayak,2024-11-23,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.9998056292533875,Positive
19,34,13,Swim Goggles,2024-01-04,4,The  quality  is  top-notch.,0.9998470544815063,Positive
20,34,6,Tennis Racket,2023-04-29,1,I  had  a  bad  experience  with  this  product.,-0.9998112320899963,Negative
21,22,15,Climbing Rope,2023-04-08,5,Amazing  value  for  the  price.,0.9998892545700073,Positive
22,52,3,Yoga Mat,2025-10-30,4,The  quality  is  top-notch.,0.9998470544815063,Positive
23,69,18,Volleyball,2023-07-02,5,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive
24,100,4,Dumbbells,2025-07-18,3,"I  love  this    product,  will  buy  again!",0.9998741149902344,Mixed Positive
25,55,20,Boxing Gloves,2024-12-19,4,Packaging was adequate and delivery was timely.,0.9997827410697937,Positive
26,76,11,Ski Boots,2024-08-21,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive
27,56,6,Tennis Racket,2025-11-24,4,The  quality  is  top-notch.,0.9998470544815063,Positive
28,76,8,Football Helmet,2025-05-27,5,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive
29,38,13,Swim Goggles,2023-05-31,4,"I  love  this  product,  will  buy  again!",0.9998741149902344,Positive
30,84,6,Tennis Racket,2024-03-18,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive
31,93,4,Dumbbells,2025-08-25,3,"Good  quality,  but  could  be    cheaper.",0.9559400081634521,Mixed Positive
32,91,1,Running Shoes,2023-07-15,4,The  quality  is  top-notch.,0.9998470544815063,Positive
33,30,2,Fitness Tracker,2023-02-21,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.9998056292533875,Positive
34,81,15,Climbing Rope,2024-03-30,5,"Excellent  product,  highly  recommend!",0.9998780488967896,Positive
35,27,12,Ice Skates,2024-03-13,3,"Average  experience,  nothing  special.",-0.9992826581001282,Mixed Negative
36,96,9,Baseball Glove,2025-12-05,3,"Average product, quality is fine but price feels slightly high.",0.9017502069473267,Mixed Positive
37,38,3,Yoga Mat,2023-09-11,3,"Average  experience,  nothing    special.",-0.9992826581001282,Mixed Negative
38,45,17,Surfboard,2024-05-07,5,"Great  purchase,  very  satisfied.",0.9998626708984375,Positive
39,54,1,Running Shoes,2023-10-02,5,Customer  support  was  very  helpful.,0.9991816878318787,Positive
40,33,2,Fitness Tracker,2025-01-03,5,The product arrived within the expected timeframe.,0.6194601058959961,Positive
41,93,17,Surfboard,2025-05-15,3,"Average  experience,  nothing  special.",-0.9992826581001282,Mixed Negative
42,72,15,Climbing Rope,2023-03-21,5,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive
43,84,15,Climbing Rope,2025-02-02,4,Exceeded  my    expectations!,0.9995620846748352,Positive
44,44,17,Surfboard,2023-04-20,5,"Excellent  product,    highly  recommend!",0.9998780488967896,Positive
45,11,16,Kayak,2023-03-23,3,"Build quality is okay, however durability could definitely be better.",0.9826349020004272,Mixed Positive
46,27,5,Soccer Ball,2025-05-07,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive
47,19,13,Swim Goggles,2024-06-01,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive
48,70,17,Surfboard,2023-10-08,4,Shipping  was  fast  and  the  item    was  well-packaged.,0.9998056292533875,Positive
49,3,7,Basketball,2025-06-09,3,"Good  quality,  but  could    be  cheaper.",0.9559400081634521,Mixed Positive
50,62,4,Dumbbells,2023-01-07,1,The  product  stopped  working  after  a  month.,-0.999716579914093,Negative
51,49,17,Surfboard,2023-04-14,4,Five  stars  for  the  quick  delivery.,0.9993364214897156,Positive
52,75,11,Ski Boots,2024-04-07,4,"I  love  this  product,  will  buy  again!",0.9998741149902344,Positive
53,73,18,Volleyball,2025-12-28,4,Five  stars  for    the  quick  delivery.,0.9993364214897156,Positive
54,33,8,Football Helmet,2023-05-03,5,"Excellent  product,  highly  recommend!",0.9998780488967896,Positive
